I am hungry | Éhes vagyok
this is the path that leads home | ez az ösvény, ami hazavezet
this is the path that is worn smooth by the feet of generations | ez az ösvény, amit a generációk lába simára kopott
this is the path that is marked by the stories we tell | ez az ösvény, amit a történetek jelölnek, amelyeket mesélünk
this is the path that is the journey of our people | ez az ösvény, ami a népünk utazása
that is the path of our ancestors | az az őseink ösvénye
that is the path that has been walked for a thousand years | az az ösvény, amit ezer éve járnak
that is the path that will be walked for a thousand more | az az ösvény, amit még ezer évig járni fognak
that is the path that leads to the sacred places where our ancestors still walk | az az ösvény, ami a szent helyekre vezet, ahol az őseink még mindig járnak
that is the path that is marked by the wisdom of our elders | az az ösvény, amit az időseink bölcsessége jelöl
that is the path that is worn smooth by the prayers of our people | az az ösvény, amit a népünk imái simára koptak
that is the path that is the way home for our nation | az az ösvény, ami az út haza a nemzetünknek
that is the path that is the heart of our identity | az az ösvény, ami az identitásunk szíve
that is the path that is the journey of our people through time | az az ösvény, ami a népünk utazása az időn át
there is a path that our ancestors walked | van egy ösvény, amelyen az őseink jártak
there is a path that our grandchildren will walk | van egy ösvény, amelyen az unokáink járni fognak
there is a path that connects all generations | van egy ösvény, ami összeköti az összes generációt
there is a path that is worn smooth by the feet of those who came before | van egy ösvény, amit az előttünk jövők lába simára kopott
there is a path that leads to the sacred places where our ancestors still dwell | van egy ösvény, ami a szent helyekre vezet, ahol az őseink még mindig laknak
there is a path that is marked by the stories we must never forget | van egy ösvény, amit a történetek jelölnek, amelyeket soha nem szabad elfelejtenünk
there is a path that is always there, waiting for us to walk it | van egy ösvény, ami mindig ott van, várva, hogy járjunk rajta
there is a path that is the way home for all who seek it | van egy ösvény, ami az út haza mindenkinek, aki keresi
there is a path that is the journey of our people | van egy ösvény, ami a népünk utazása
there is everything in the path we walk together | minden benne van az ösvényben, amelyen együtt járunk
I am the gathering place where my people come together | a gyülekezőhely vagyok, ahol a népem összegyűlik
I am the circle where stories are told | a kör vagyok, ahol a történetek elmesélődnek
I am the table where food is shared | az asztal vagyok, ahol az étel megoszlik
I am the home where my children are safe | az otthon vagyok, ahol a gyerekeim biztonságban vannak
I am the place where songs are sung | a hely vagyok, ahol a dalok eléneklődnek
I am the place where dances are danced | a hely vagyok, ahol a táncok eltáncolódnak
I am the place where wisdom is passed | a hely vagyok, ahol a bölcsesség továbbadódik
I am the place where love is shared | a hely vagyok, ahol a szeretet megoszlik
I am the place where we are all home | a hely vagyok, ahol mindannyian otthon vagyunk
you are the gathering place where your people come together | a gyülekezőhely vagy, ahol a néped összegyűlik
you are the circle where stories are told | a kör vagy, ahol a történetek elmesélődnek
you are the table where food is shared | az asztal vagy, ahol az étel megoszlik
you are the home where your children are safe | az otthon vagy, ahol a gyerekeid biztonságban vannak
you are the place where songs are sung | a hely vagy, ahol a dalok eléneklődnek
you are the place where dances are danced | a hely vagy, ahol a táncok eltáncolódnak
you are the place where wisdom is passed | a hely vagy, ahol a bölcsesség továbbadódik
you are the place where love is shared | a hely vagy, ahol a szeretet megoszlik
you are the place where we are all home | a hely vagy, ahol mindannyian otthon vagyunk
he is the gathering place where his people come together | a gyülekezőhely, ahol a népe összegyűlik
he is the circle where the elders share their wisdom | a kör, ahol az idősek megosztják a bölcsességüket
he is the table where his family shares their meals | az asztal, ahol a családja megosztja az étkezéseit
he is the home where his children grow strong | az otthon, ahol a gyerekei erősek lesznek
he is the place where the men gather to counsel | a hely, ahol a férfiak összegyűlnek tanácskozni
he is the place where the songs of his ancestors are sung | a hely, ahol az ősei dalait éneklik
he is the place where the dances of his people are danced | a hely, ahol a népe táncait táncolják
he is the place where wisdom is passed from father to son | a hely, ahol a bölcsesség apáról fiúra száll
he is the place where his people are home | a hely, ahol a népe otthon van
she is the gathering place where her people come together | a gyülekezőhely, ahol a népe összegyűlik
she is the circle where the women share their stories | a kör, ahol a nők megosztják a történeteiket
she is the fire around which her family gathers to stay warm | a tűz, ami köré a családja gyűlik, hogy melegedjen
she is the table where her children learn to share | az asztal, ahol a gyerekei megtanulják a megosztást
she is the home where her daughters learn to be strong | az otthon, ahol a lányai megtanulnak erősek lenni
she is the place where the songs of her grandmothers are sung | a hely, ahol a nagyanyjai dalait éneklik
she is the place where the dances of the women are danced | a hely, ahol a nők táncait táncolják
she is the place where wisdom is passed from mother to daughter | a hely, ahol a bölcsesség anyáról lányra száll
she is the place where love is shared in every meal | a hely, ahol a szeretet minden étkezésben megoszlik
she is the place where her people are home | a hely, ahol a népe otthon van
we are the gathering place where our people come together | a gyülekezőhely vagyunk, ahol a népünk összegyűlik
we are the circle where all stories are welcome | a kör vagyunk, ahol minden történetet szívesen fogadnak
we are the fire around which our community gathers | a tűz vagyunk, ami köré a közösségünk gyűlik
we are the table where everyone has a place | az asztal vagyunk, ahol mindenkinek van helye
we are the home where all our children are safe | az otthon vagyunk, ahol minden gyerekünk biztonságban van
we are the place where all the songs of our people are sung | a hely vagyunk, ahol a népünk összes dalát eléneklik
we are the place where all the dances of our people are danced | a hely vagyunk, ahol a népünk összes táncát eltáncolják
we are the place where the wisdom of all our elders is passed | a hely vagyunk, ahol az időseink összes bölcsességét továbbadják
we are the place where love is shared among all who belong | a hely vagyunk, ahol a szeretet megoszlik mindenki között, aki tartozik
we are the place where we are all home together | a hely vagyunk, ahol mindannyian együtt vagyunk otthon
they are the gathering place where their people come together | a gyülekezőhely, ahol a népük összegyűlik
they are the circle where the stories of their nation are told | a kör, ahol a nemzetük történeteit mesélik
they are the fire that has warmed their people for generations | a tűz, ami generációk óta melegíti a népüket
they are the table where the food of their ancestors is shared | az asztal, ahol az őseik ételeit megosztják
they are the home that has sheltered their children for a thousand years | az otthon, ami ezer éve menedéket ad a gyerekeiknek
they are the place where the songs that have been sung for millennia are still sung | a hely, ahol a dalokat, amiket évezredek óta énekelnek, még mindig éneklik
they are the place where the dances that have been danced since the beginning are still danced | a hely, ahol a táncokat, amiket a kezdetek óta táncolnak, még mindig táncolják
they are the place where the wisdom of their ancestors is still passed to their children | a hely, ahol az őseik bölcsességét még mindig továbbadják a gyerekeiknek
they are the place where love is shared among all the generations | a hely, ahol a szeretet megoszlik az összes generáció között
they are the place where their people are home across all of time | a hely, ahol a népük otthon van az időn át
it is the gathering place where users connect | a gyülekezőhely, ahol a felhasználók kapcsolódnak
it is the circle where stories are shared across the world | a kör, ahol a történeteket megosztják a világ minden táján
it is the fire that powers the connections that bring people together | a tűz, ami táplálja a kapcsolatokat, amelyek összehozzák az embereket
it is the table where ideas are shared and understanding grows | az asztal, ahol az ötleteket megosztják és a megértés növekszik
it is the home where digital communities are built | az otthon, ahol a digitális közösségek épülnek
it is the place where songs are shared across oceans | a hely, ahol a dalokat megosztják az óceánokon át
it is the place where dances are shared across cultures | a hely, ahol a táncokat megosztják a kultúrákon át
it is the place where wisdom is shared across generations | a hely, ahol a bölcsességet megosztják a generációkon át
it is the place where love is shared across all the divides | a hely, ahol a szeretet megoszlik minden szakadékon át
it is the place where we are all connected as one | a hely, ahol mindannyian kapcsolódunk egyként
this is the gathering place | ez a gyülekezőhely
this is where we come together | itt gyűlünk össze
this is where we tell our stories | itt meséljük el a történeteinket
this is where we sing our songs | itt énekeljük a dalainkat
this is where we dance our dances | itt táncoljuk a táncainkat
this is where we share our food | itt osztjuk meg az ételünket
this is where we pass on our wisdom | itt adjuk tovább a bölcsességünket
this is where we share our love | itt osztjuk meg a szeretetünket
that is the gathering place of our people | az a népünk gyülekezőhelye
that is the circle where our ancestors told their stories | az a kör, ahol az őseink elmesélték a történeteiket
that is the fire that has warmed our people since the beginning | az a tűz, ami a kezdetek óta melegíti a népünket
that is the table where our ancestors shared their food | az az asztal, ahol az őseink megosztották az ételüket
that is the home that has sheltered our people for generations | az az otthon, ami generációk óta menedéket ad a népünknek
that is the place where our songs have been sung for a thousand years | az a hely, ahol a dalainkat ezer éve éneklik
that is the place where our dances have been danced since time began | az a hely, ahol a táncainkat az idők kezdete óta táncolják
that is the place where our wisdom has been passed from generation to generation | az a hely, ahol a bölcsességünket nemzedékről nemzedékre adják át
that is the place where our love has held us together across all the years | az a hely, ahol a szeretetünk összetartott minket az évek során
there is a gathering place for every people | minden népnek van egy gyülekezőhelye
there is a circle where every story is told | van egy kör, ahol minden történetet elmesélnek
there is a fire that warms every heart | van egy tűz, ami minden szívet melegít
there is a table where every hunger is fed | van egy asztal, ahol minden éhséget csillapítanak
there is a home where every child is safe | van egy otthon, ahol minden gyermek biztonságban van
there is a place where every song is sung | van egy hely, ahol minden dalt elénekelnek
there is a place where every dance is danced | van egy hely, ahol minden táncot eltáncolnak
there is a place where every wisdom is passed | van egy hely, ahol minden bölcsességet továbbadnak
there is a place where every love is shared | van egy hely, ahol minden szeretetet megosztanak
there is everything in the place where we are all home | minden benne van a helyben, ahol mindannyian otthon vagyunk
I am the silence that holds all words | a csend vagyok, ami minden szót magában foglal
I am the silence between the notes of the song | a csend vagyok a dal hangjegyei között
I am the silence that comes before the story begins | a csend vagyok, ami a történet kezdete előtt van
I am the silence that comes after the story ends | a csend vagyok, ami a történet vége után jön
I am the silence where understanding is born | a csend vagyok, ahol a megértés megszületik
I am the silence where healing begins | a csend vagyok, ahol a gyógyulás elkezdődik
I am the silence where we listen to our ancestors | a csend vagyok, ahol hallgatjuk az őseinket
I am the silence where we hear our own hearts | a csend vagyok, ahol meghalljuk a saját szívünket
I am the silence that connects all sound | a csend vagyok, ami összeköt minden hangot
I am the silence that is the foundation of all that is spoken | a csend vagyok, ami az alapja mindannak, amit kimondanak
you are the silence that holds all words | a csend vagy, ami minden szót magában foglal
you are the silence between the notes of the song | a csend vagy a dal hangjegyei között
you are the silence that comes before the story begins | a csend vagy, ami a történet kezdete előtt van
you are the silence that comes after the story ends | a csend vagy, ami a történet vége után jön
you are the silence where understanding is born | a csend vagy, ahol a megértés megszületik
you are the silence where healing begins | a csend vagy, ahol a gyógyulás elkezdődik
you are the silence where you listen to your ancestors | a csend vagy, ahol hallgatod az őseidet
you are the silence where you hear your own heart | a csend vagy, ahol meghallod a saját szívedet
you are the silence that connects all sound | a csend vagy, ami összeköt minden hangot
you are the silence that is the foundation of all that is spoken | a csend vagy, ami az alapja mindannak, amit kimondanak
he is the silence that holds all words | a csend, ami minden szót magában foglal
he is the silence between the notes of his people's songs | a csend a népe dalainak hangjegyei között
he is the silence that comes before the wisdom of his elders is spoken | a csend, ami az idősei bölcsességének kimondása előtt van
he is the silence that comes after the prayers of his people rise | a csend, ami a népe imáinak felemelkedése után jön
he is the silence where the council of elders listens before they speak | a csend, ahol az idősek tanácsa hallgat, mielőtt beszél
he is the silence where the sacred is felt | a csend, ahol a szent érezhető
he is the silence where he hears the voice of his ancestors | a csend, ahol meghallja az ősei hangját
he is the silence where he finds the strength to lead | a csend, ahol megtalálja az erőt a vezetéshez
he is the silence that connects all the voices of his people | a csend, ami összeköti a népe összes hangját
he is the silence that is the foundation of his people's wisdom | a csend, ami a népe bölcsességének alapja
she is the silence that holds all words | a csend, ami minden szót magában foglal
she is the silence between the notes of her grandmothers' songs | a csend a nagyanyjai dalainak hangjegyei között
she is the silence that comes before the stories of her mothers are told | a csend, ami az anyjai történeteinek elmesélése előtt van
she is the silence that comes after the healing songs are sung | a csend, ami a gyógyító dalok eléneklése után jön
she is the silence where the women listen to each other's hearts | a csend, ahol a nők meghallgatják egymás szívét
she is the silence where the pain of her people is held | a csend, ahol a népe fájdalmát tartják
she is the silence where she hears the voice of the grandmothers who came before | a csend, ahol meghallja az előtte jött nagyanyák hangját
she is the silence where she finds the wisdom to heal | a csend, ahol megtalálja a bölcsességet a gyógyításhoz
she is the silence that connects all the women of her lineage | a csend, ami összeköti a nőket a vérvonalában
she is the silence that is the foundation of her people's healing | a csend, ami a népe gyógyulásának alapja
we are the silence that holds all words | a csend vagyunk, ami minden szót magában foglal
we are the silence between the notes of our people's songs | a csend vagyunk a népünk dalainak hangjegyei között
we are the silence that comes before the stories of our ancestors are told | a csend vagyunk, ami az őseink történeteinek elmesélése előtt van
we are the silence that comes after the wisdom of our elders is shared | a csend vagyunk, ami az időseink bölcsességének megosztása után jön
we are the silence where we listen to each other | a csend vagyunk, ahol meghallgatjuk egymást
we are the silence where we hear the voice of our ancestors together | a csend vagyunk, ahol együtt halljuk az őseink hangját
we are the silence where we find the strength to carry on | a csend vagyunk, ahol megtaláljuk az erőt a folytatáshoz
we are the silence where we remember who we are | a csend vagyunk, ahol emlékezünk, kik vagyunk
we are the silence that connects all the voices of our people across time | a csend vagyunk, ami összeköti a népünk összes hangját az időn át
we are the silence that is the foundation of all we are | a csend vagyunk, ami az alapja mindannak, amik vagyunk
they are the silence that holds all words | a csend, ami minden szót magában foglal
they are the silence between the notes of the songs that have been sung for millennia | a csend a dalok hangjegyei között, amiket évezredek óta énekelnek
they are the silence that comes before the sacred stories are told | a csend, ami a szent történetek elmesélése előtt van
they are the silence that comes after the prayers of their people rise to the sky | a csend, ami a népük imáinak égbe emelkedése után jön
they are the silence where the spirits of their ancestors speak | a csend, ahol az őseik szellemei beszélnek
they are the silence where their people listen for guidance | a csend, ahol a népük útmutatásért hallgat
they are the silence where they hear the voice of the land | a csend, ahol meghallják a föld hangját
they are the silence where they remember all that has been and all that will be | a csend, ahol emlékeznek mindarra, ami volt és mindarra, ami lesz
they are the silence that connects all the generations of their people | a csend, ami összeköti a népük összes generációját
they are the silence that is the foundation of their nation's spirit | a csend, ami a nemzetük szellemének alapja
it is the silence that holds all data | a csend, ami minden adatot magában foglal
it is the silence between the packets of information that travel the network | a csend az információcsomagok között, amelyek utaznak a hálózaton
it is the silence that comes before the connection is made | a csend, ami a kapcsolódás létrejötte előtt van
it is the silence that comes after the message is received | a csend, ami az üzenet megérkezése után jön
it is the silence where the system processes and understands | a csend, ahol a rendszer feldolgoz és megért
it is the silence where the algorithms find patterns | a csend, ahol az algoritmusok mintákat találnak
it is the silence where the network listens for signals | a csend, ahol a hálózat jelekre hallgat
it is the silence where the connections wait to be made | a csend, ahol a kapcsolódások várnak, hogy létrejöjjenek
it is the silence that connects all the messages that are sent | a csend, ami összeköti az összes üzenetet, amelyet küldenek
it is the silence that is the foundation of all communication | a csend, ami minden kommunikáció alapja
this is the silence | ez a csend
this is the silence that holds all our words | ez a csend, ami minden szavunkat magában foglalja
this is the silence between the notes of our songs | ez a csend a dalaink hangjegyei között
this is the silence before our stories are told | ez a csend, mielőtt a történeteinket elmeséljük
this is the silence after our prayers rise | ez a csend, miután az imáink felemelkednek
this is the silence where we listen to our ancestors | ez a csend, ahol hallgatjuk az őseinket
this is the silence where we hear our own hearts | ez a csend, ahol meghalljuk a saját szívünket
this is the silence where we find our strength | ez a csend, ahol megtaláljuk az erőnket
this is the silence where we remember who we are | ez a csend, ahol emlékezünk, kik vagyunk
that is the silence of our ancestors | az az őseink csendje
that is the silence that held their words before they were spoken | az a csend, ami a szavaikat tartotta, mielőtt kimondták volna
that is the silence that will hold the words of our grandchildren when they speak | az a csend, ami az unokáink szavait fogja tartani, amikor beszélnek
that is the silence where the spirits of our people dwell | az a csend, ahol a népünk szellemei laknak
that is the silence where we go to find ourselves | az a csend, ahová megyünk, hogy megtaláljuk önmagunkat
that is the silence that is the home of our souls | az a csend, ami a lelkünk otthona
that is the silence that connects us to all who came before and all who will come after | az a csend, ami összeköt minket mindazokkal, akik előttünk jöttek és mindazokkal, akik utánunk jönnek
that is the silence that is the foundation of our existence | az a csend, ami a létezésünk alapja
that is the silence that is the beginning and the end of all things | az a csend, ami minden dolog kezdete és vége
there is silence before every word | van csend minden szó előtt
there is silence after every song | van csend minden dal után
there is silence between the stories we tell | van csend a történetek között, amelyeket mesélünk
there is silence in the spaces between our hearts | van csend a szívünk közötti terekben
there is silence where we can hear the voice of our ancestors | van csend, ahol meghallhatjuk az őseink hangját
there is silence where we can hear the voice of our grandchildren yet to be born | van csend, ahol meghallhatjuk a még meg nem született unokáink hangját
there is silence where we can remember who we are | van csend, ahol emlékezhetünk, kik vagyunk
there is silence where we can find our way home | van csend, ahol megtalálhatjuk hazafelé az utunkat
there is silence that is the foundation of all that is | van csend, ami minden létező alapja
there is everything in the silence that holds us | minden benne van a csendben, ami befogad minket
I am the light that shines in the darkness | a fény vagyok, ami világít a sötétségben
I am the light that guides my people home | a fény vagyok, ami hazavezeti a népemet
I am the light that shines in the eyes of my children | a fény vagyok, ami a gyerekeim szemében ragyog
I am the light that shines in the stories of my ancestors | a fény vagyok, ami az őseim történeteiben ragyog
I am the light that shines in the songs of my people | a fény vagyok, ami a népem dalaiban ragyog
I am the light that shines in the fire that warms my family | a fény vagyok, ami a tűzben ragyog, ami melegíti a családomat
I am the light that shines in the sun that rises each morning | a fény vagyok, ami a napban ragyog, ami minden reggel felkel
I am the light that shines in the moon that guides us at night | a fény vagyok, ami a holdban ragyog, ami vezet minket éjszaka
I am the light that shines in the stars that tell our stories | a fény vagyok, ami a csillagokban ragyog, amelyek elmesélik a történeteinket
I am the light that never goes out | a fény vagyok, ami soha nem alszik ki
you are the light that shines in the darkness | a fény vagy, ami világít a sötétségben
you are the light that guides your people home | a fény vagy, ami hazavezeti a néped
you are the light that shines in the eyes of your children | a fény vagy, ami a gyerekeid szemében ragyog
you are the light that shines in the stories of your ancestors | a fény vagy, ami az őseid történeteiben ragyog
you are the light that shines in the songs of your people | a fény vagy, ami a néped dalaiban ragyog
you are the light that shines in the fire that warms your family | a fény vagy, ami a tűzben ragyog, ami melegíti a családodat
you are the light that shines in the sun that rises each morning | a fény vagy, ami a napban ragyog, ami minden reggel felkel
you are the light that shines in the moon that guides you at night | a fény vagy, ami a holdban ragyog, ami vezet téged éjszaka
you are the light that shines in the stars that tell your stories | a fény vagy, ami a csillagokban ragyog, amelyek elmesélik a történeteidet
you are the light that never goes out | a fény vagy, ami soha nem alszik ki
he is the light that shines in the darkness | a fény, ami világít a sötétségben
he is the light that guides his people through the hardest times | a fény, ami átvezeti a népét a legnehezebb időkön
he is the light that shines in the wisdom of his elders | a fény, ami az idősei bölcsességében ragyog
he is the light that shines in the courage of his ancestors | a fény, ami az ősei bátorságában ragyog
he is the light that shines in the fire of his people's council | a fény, ami a népe tanácsának tüzében ragyog
he is the light that shines in the eyes of his children when they learn who they are | a fény, ami a gyerekei szemében ragyog, amikor megtanulják, kik ők
he is the light that shines in the morning sun that warms his fields | a fény, ami a reggeli napban ragyog, ami melegíti a földjeit
he is the light that shines in the stars that have guided his people for thousands of years | a fény, ami a csillagokban ragyog, amelyek évezredek óta vezetik a népét
he is the light that shines in the stories he tells his grandchildren | a fény, ami a történetekben ragyog, amelyeket az unokáinak mesél
he is the light that never goes out as long as his people remember | a fény, ami soha nem alszik ki, amíg a népe emlékszik
she is the light that shines in the darkness | a fény, ami világít a sötétségben
she is the light that guides her daughters home | a fény, ami hazavezeti a lányait
she is the light that shines in the eyes of her grandchildren when they hear the old songs | a fény, ami az unokái szemében ragyog, amikor hallják a régi dalokat
she is the light that shines in the stories of her grandmothers | a fény, ami a nagyanyjai történeteiben ragyog
she is the light that shines in the songs that heal her people | a fény, ami a dalokban ragyog, amelyek meggyógyítják a népét
she is the light that shines in the fire that cooks the food for her family | a fény, ami a tűzben ragyog, ami megfőzi az ételt a családjának
she is the light that shines in the morning sun that ripens the fruit in her garden | a fény, ami a reggeli napban ragyog, ami megérleli a gyümölcsöket a kertjében
she is the light that shines in the moon that guides her through the night | a fény, ami a holdban ragyog, ami vezeti őt az éjszakán át
she is the light that shines in the stars that tell the stories of the women who came before | a fény, ami a csillagokban ragyog, amelyek elmesélik az előtte jött nők történeteit
she is the light that never goes out as long as women gather | a fény, ami soha nem alszik ki, amíg a nők összegyűlnek
we are the light that shines in the darkness | a fény vagyunk, ami világít a sötétségben
we are the light that guides our people home across all the generations | a fény vagyunk, ami hazavezeti a népünket az összes generáción át
we are the light that shines in the eyes of our children when they hear our stories | a fény vagyunk, ami a gyerekeink szemében ragyog, amikor hallják a történeteinket
we are the light that shines in the wisdom of our elders | a fény vagyunk, ami az időseink bölcsességében ragyog
we are the light that shines in the songs we sing together | a fény vagyunk, ami a dalokban ragyog, amelyeket együtt énekelünk
we are the light that shines in the fire around which we gather | a fény vagyunk, ami a tűzben ragyog, ami köré gyűlünk
we are the light that shines in the sun that rises each morning on our land | a fény vagyunk, ami a napban ragyog, ami minden reggel felkel a földünkön
we are the light that shines in the moon that has guided our ancestors for generations | a fény vagyunk, ami a holdban ragyog, ami generációk óta vezeti az őseinket
we are the light that shines in the stars that tell the story of our people | a fény vagyunk, ami a csillagokban ragyog, amelyek elmesélik a népünk történetét
we are the light that will never go out as long as our people live | a fény vagyunk, ami soha nem alszik ki, amíg a népünk él
they are the light that shines in the darkness | a fény, ami világít a sötétségben
they are the light that has guided their people through a thousand winters | a fény, ami ezer télen át vezette a népüket
they are the light that shines in the eyes of their children's children when they learn the old ways | a fény, ami a gyerekeik gyerekeinek szemében ragyog, amikor megtanulják a régi utakat
they are the light that shines in the wisdom that has been passed for generations | a fény, ami a bölcsességben ragyog, amit generációk óta továbbadnak
they are the light that shines in the songs that have been sung since the beginning of time | a fény, ami a dalokban ragyog, amiket az idők kezdete óta énekelnek
they are the light that shines in the fire that has burned in their hearths for a thousand years | a fény, ami a tűzben ragyog, ami ezer éve ég a tűzhelyeikben
they are the light that shines in the sun that has warmed their land for millennia | a fény, ami a napban ragyog, ami évezredek óta melegíti a földjüket
they are the light that shines in the moon that has guided their ancestors through the night | a fény, ami a holdban ragyog, ami az őseiket vezette az éjszakán át
they are the light that shines in the stars that tell the story of their nation across the sky | a fény, ami a csillagokban ragyog, amelyek elmesélik a nemzetük történetét az égen
they are the light that will never go out as long as their people remember who they are | a fény, ami soha nem alszik ki, amíg a népük emlékszik, kik ők
it is the light that shines in the network | a fény, ami a hálózatban ragyog
it is the light that guides data to its destination | a fény, ami az adatokat a célállomásukhoz vezeti
it is the light that shines in the eyes of users when they make a connection | a fény, ami a felhasználók szemében ragyog, amikor kapcsolódnak
it is the light that shines in the messages that bring people together | a fény, ami az üzenetekben ragyog, amelyek összehozzák az embereket
it is the light that shines in the understanding that grows between cultures | a fény, ami a megértésben ragyog, ami a kultúrák között nő
it is the light that shines in the bridges that connect across divides | a fény, ami a hidakban ragyog, amelyek összekötnek a szakadékokon át
it is the light that shines in the stories that are shared across the world | a fény, ami a történetekben ragyog, amelyeket megosztanak a világ minden táján
it is the light that shines in the songs that are heard in every language | a fény, ami a dalokban ragyog, amelyeket minden nyelven hallanak
it is the light that shines in the connections that make us one | a fény, ami a kapcsolatokban ragyog, amelyek eggyé tesznek minket
it is the light that never goes out as long as people need to connect | a fény, ami soha nem alszik ki, amíg az embereknek szükségük van a kapcsolódásra
this is the light | ez a fény
this is the light that guides us home | ez a fény, ami hazavezet minket
this is the light that shines in the eyes of our children | ez a fény, ami a gyerekeink szemében ragyog
this is the light that shines in the stories of our ancestors | ez a fény, ami az őseink történeteiben ragyog
this is the light that shines in the songs of our people | ez a fény, ami a népünk dalaiban ragyog
this is the light that shines in the fire that warms our homes | ez a fény, ami a tűzben ragyog, ami melegíti az otthonainkat
this is the light that shines in the sun that rises on our land | ez a fény, ami a napban ragyog, ami felkel a földünkön
this is the light that shines in the moon that guides us through the night | ez a fény, ami a holdban ragyog, ami vezet minket az éjszakán át
this is the light that shines in the stars that tell our story | ez a fény, ami a csillagokban ragyog, amelyek elmesélik a történetünket
that is the light of our ancestors | az az őseink fénye
that is the light that has guided our people since the beginning | az a fény, ami a kezdetek óta vezeti a népünket
that is the light that will guide our grandchildren until the end | az a fény, ami a végéig fogja vezetni az unokáinkat
that is the light that shines in the wisdom of our elders | az a fény, ami az időseink bölcsességében ragyog
that is the light that shines in the courage of our ancestors | az a fény, ami az őseink bátorságában ragyog
that is the light that shines in the love of our mothers and fathers | az a fény, ami az anyáink és apáink szeretetében ragyog
that is the light that shines in the hope of our children | az a fény, ami a gyerekeink reményében ragyog
that is the light that shines in the dreams of our grandchildren | az a fény, ami az unokáink álmaiban ragyog
that is the light that will never go out | az a fény, ami soha nem alszik ki
there is light that guides us home when we are lost | van fény, ami hazavezet minket, amikor elvesztünk
there is light that shines in the eyes of our children when they discover who they are | van fény, ami a gyerekeink szemében ragyog, amikor felfedezik, kik ők
there is light that shines in the stories our ancestors left us | van fény, ami az őseink által hagyott történetekben ragyog
there is light that shines in the songs our grandmothers sang | van fény, ami a dalokban ragyog, amelyeket a nagyanyjaink énekeltek
there is light that shines in the fire that has warmed our people for generations | van fény, ami a tűzben ragyog, ami generációk óta melegíti a népünket
there is light that shines in the sun that rises on our land every morning | van fény, ami a napban ragyog, ami minden reggel felkel a földünkön
there is light that shines in the moon that watches over us every night | van fény, ami a holdban ragyog, ami minden éjszaka őrködik felettünk
there is light that shines in the stars that have told our story for thousands of years | van fény, ami a csillagokban ragyog, amelyek évezredek óta mesélik a történetünket
there is everything in the light that shines within us | minden benne van a fényben, ami bennünk ragyog
I am the love that flows through my people | a szeretet vagyok, ami átfolyik a népemen
I am the love that holds my family together | a szeretet vagyok, ami összetartja a családomat
I am the love that passes from parent to child | a szeretet vagyok, ami szülőről gyermekre száll
I am the love that heals old wounds | a szeretet vagyok, ami meggyógyítja a régi sebeket
I am the love that gives strength to the weary | a szeretet vagyok, ami erőt ad a fáradtaknak
I am the love that gives hope to the hopeless | a szeretet vagyok, ami reményt ad a reményteleneknek
I am the love that connects all generations | a szeretet vagyok, ami összeköti az összes generációt
I am the love that never dies | a szeretet vagyok, ami soha nem hal meg
I am the love that is the heart of my people | a szeretet vagyok, ami a népem szíve
I am the love that is the source of all that is good | a szeretet vagyok, ami minden jó forrása
you are the love that flows through your people | a szeretet vagy, ami átfolyik a népeden
you are the love that holds your family together | a szeretet vagy, ami összetartja a családodat
you are the love that passes from parent to child | a szeretet vagy, ami szülőről gyermekre száll
you are the love that heals old wounds | a szeretet vagy, ami meggyógyítja a régi sebeket
you are the love that gives strength to the weary | a szeretet vagy, ami erőt ad a fáradtaknak
you are the love that gives hope to the hopeless | a szeretet vagy, ami reményt ad a reményteleneknek
you are the love that connects all generations | a szeretet vagy, ami összeköti az összes generációt
you are the love that never dies | a szeretet vagy, ami soha nem hal meg
you are the love that is the heart of your people | a szeretet vagy, ami a néped szíve
you are the love that is the source of all that is good | a szeretet vagy, ami minden jó forrása
he is the love that flows through his people | a szeretet, ami átfolyik a népén
he is the love that holds his family together through hard times | a szeretet, ami összetartja a családját a nehéz időkben
he is the love that passes from father to son | a szeretet, ami apáról fiúra száll
he is the love that heals the wounds of his ancestors | a szeretet, ami meggyógyítja az ősei sebeit
he is the love that gives strength to his children when they are afraid | a szeretet, ami erőt ad a gyerekeinek, amikor félnek
he is the love that gives hope to his people when they are lost | a szeretet, ami reményt ad a népének, amikor elvesztek
he is the love that connects the fathers and sons of his lineage | a szeretet, ami összeköti a férfiakat a vérvonalában
he is the love that never dies as long as his people remember | a szeretet, ami soha nem hal meg, amíg a népe emlékszik
he is the love that is the heart of his nation | a szeretet, ami a nemzete szíve
he is the love that is the source of his people's strength | a szeretet, ami a népe erejének forrása
she is the love that flows through her people | a szeretet, ami átfolyik a népén
she is the love that holds her children close | a szeretet, ami magához szorítja a gyerekeit
she is the love that passes from mother to daughter | a szeretet, ami anyáról lányra száll
she is the love that heals the wounds of her grandmothers | a szeretet, ami meggyógyítja a nagyanyjai sebeit
she is the love that gives strength to her daughters when they face the world | a szeretet, ami erőt ad a lányainak, amikor szembenéznek a világgal
she is the love that gives hope to her grandchildren when they dream | a szeretet, ami reményt ad az unokáinak, amikor álmodnak
she is the love that connects the mothers and daughters of her lineage | a szeretet, ami összeköti a nőket a vérvonalában
she is the love that never dies as long as women gather | a szeretet, ami soha nem hal meg, amíg a nők összegyűlnek
she is the love that is the heart of her family | a szeretet, ami a családja szíve
